symbol,trade_date,tenor_bucket,moneyness,ttm_years,days_to_expiration,spot,strike,rate,dividend,mid_price,mid_iv,vega,quotes
SPX,2024-06-14,30d,0.93,0.0958904109589041,35.0,4405.0,4100.0,0.015,0.01,319.5,0.18836607814487075,243.4776331273331,1
SPX,2024-06-14,30d,0.98,0.0958904109589041,35.0,4405.0,4300.0,0.015,0.01,198.65,0.2582618594444356,511.7798332613992,1
SPX,2024-06-14,30d,1.02,0.0958904109589041,35.0,4405.0,4500.0,0.015,0.01,94.05,0.24652798382211477,528.8470534067158,1
SPX,2024-06-14,30d,1.07,0.0958904109589041,35.0,4405.0,4700.0,0.015,0.01,35.5,0.23847372757866986,383.8393844105846,1
SPX,2024-06-14,30d,1.11,0.0958904109589041,35.0,4405.0,4900.0,0.015,0.01,9.8,0.22927024055905643,187.87849593045087,1
SPX,2024-06-14,60d,0.93,0.1726027397260274,63.0,4405.0,4100.0,0.015,0.01,344.0,0.19770503568463027,475.08689217695036,1
SPX,2024-06-14,60d,0.98,0.1726027397260274,63.0,4405.0,4300.0,0.015,0.01,231.15,0.23828892613505015,696.3656064267042,1
SPX,2024-06-14,60d,1.02,0.1726027397260274,63.0,4405.0,4500.0,0.015,0.01,132.65,0.236896393418964,719.702528826182,1
SPX,2024-06-14,60d,1.07,0.1726027397260274,63.0,4405.0,4700.0,0.015,0.01,61.599999999999994,0.22392461987752468,593.4862322594053,1
SPX,2024-06-14,60d,1.11,0.1726027397260274,63.0,4405.0,4900.0,0.015,0.01,25.85,0.21963026473708447,392.73779700672225,1
SPX,2024-06-14,90d,0.93,0.2684931506849315,98.0,4405.0,4100.0,0.015,0.01,367.0,0.19293866826165468,669.3586672121615,1
SPX,2024-06-14,90d,0.98,0.2684931506849315,98.0,4405.0,4300.0,0.015,0.01,263.45000000000005,0.2270336508064531,874.3755236305738,1
SPX,2024-06-14,90d,1.02,0.2684931506849315,98.0,4405.0,4500.0,0.015,0.01,170.1,0.23071638258756139,902.9177847427451,1
SPX,2024-06-14,90d,1.07,0.2684931506849315,98.0,4405.0,4700.0,0.015,0.01,91.25,0.21731944670574738,798.4456449821968,1
SPX,2024-06-14,90d,1.11,0.2684931506849315,98.0,4405.0,4900.0,0.015,0.01,40.95,0.20365611638678233,581.8049210632628,1
