# SYNTHETIC_DATA: poison sample with quote_date mismatch for OOS.
trade_date,quote_date,exdate,cp_flag,strike_price,bid,ask,spot,rate,dividend,forward_price
2024-06-14,2024-06-14,2024-07-14,C,3825.0,673.2772,680.0438,4500.0,0.015,0.01,4501.8497
2024-06-14,2024-06-14,2024-07-14,C,4275.0,258.7787,261.3795,4500.0,0.015,0.01,4501.8497
2024-06-14,2024-06-14,2024-07-14,C,4500.0,113.4505,114.5907,4500.0,0.015,0.01,4501.8497
2024-06-14,2024-06-14,2024-07-14,C,4725.0,38.373,38.7587,4500.0,0.015,0.01,4501.8497
2024-06-14,2024-06-14,2024-07-14,C,5175.0,2.0512,2.1512,4500.0,0.015,0.01,4501.8497
2024-06-14,2024-06-14,2024-09-12,C,3825.0,697.637,704.6485,4500.0,0.015,0.01,4505.5514
2024-06-14,2024-06-14,2024-09-12,C,4275.0,343.9404,347.3971,4500.0,0.015,0.01,4505.5514
2024-06-14,2024-06-14,2024-09-12,C,4500.0,214.8608,217.0202,4500.0,0.015,0.01,4505.5514
2024-06-14,2024-06-14,2024-09-12,C,4725.0,129.029,130.3257,4500.0,0.015,0.01,4505.5514
2024-06-14,2024-06-14,2024-09-12,C,5175.0,40.4812,40.8881,4500.0,0.015,0.01,4505.5514
2024-06-17,2024-06-14,2024-07-17,C,3842.0,676.2696,683.0663,4520.0,0.015,0.01,4521.8579
2024-06-17,2024-06-14,2024-07-17,C,4294.0,259.9289,262.5412,4520.0,0.015,0.01,4521.8579
2024-06-17,2024-06-14,2024-07-17,C,4520.0,113.9547,115.1,4520.0,0.015,0.01,4521.8579
2024-06-17,2024-06-14,2024-07-17,C,4746.0,38.5436,38.9309,4520.0,0.015,0.01,4521.8579
2024-06-17,2024-06-14,2024-07-17,C,5198.0,2.0606,2.1606,4520.0,0.015,0.01,4521.8579
2024-06-17,2024-06-14,2024-09-15,C,3842.0,700.7376,707.7802,4520.0,0.015,0.01,4525.576
2024-06-17,2024-06-14,2024-09-15,C,4294.0,345.4691,348.9411,4520.0,0.015,0.01,4525.576
2024-06-17,2024-06-14,2024-09-15,C,4520.0,215.8157,217.9847,4520.0,0.015,0.01,4525.576
2024-06-17,2024-06-14,2024-09-15,C,4746.0,129.6024,130.905,4520.0,0.015,0.01,4525.576
2024-06-17,2024-06-14,2024-09-15,C,5198.0,40.6611,41.0698,4520.0,0.015,0.01,4525.576
