date,ttm_years,strike,mid_iv,put_call,spot,r,q,bid,ask
2024-06-14,0.250000,4800.00,0.280000,call,5300.00,0.020000,0.015000,600.103804,603.103804
2024-06-14,0.250000,5000.00,0.260000,call,5300.00,0.020000,0.015000,444.120424,447.120424
2024-06-14,0.250000,5200.00,0.235000,call,5300.00,0.020000,0.015000,300.073082,303.073082
2024-06-14,0.250000,5400.00,0.215000,call,5300.00,0.020000,0.015000,183.372159,186.372159
2024-06-14,0.250000,5600.00,0.205000,call,5300.00,0.020000,0.015000,104.175117,107.175117
2024-06-14,0.250000,5800.00,0.195000,call,5300.00,0.020000,0.015000,51.355329,54.355329
2024-06-14,0.500000,4800.00,0.275000,call,5300.00,0.020000,0.015000,691.867985,694.867985
2024-06-14,0.500000,5000.00,0.255000,call,5300.00,0.020000,0.015000,540.894699,543.894699
2024-06-14,0.500000,5200.00,0.230000,call,5300.00,0.020000,0.015000,394.813842,397.813842
2024-06-14,0.500000,5400.00,0.215000,call,5300.00,0.020000,0.015000,278.721868,281.721868
2024-06-14,0.500000,5600.00,0.205000,call,5300.00,0.020000,0.015000,188.956181,191.956181
2024-06-14,0.500000,5800.00,0.200000,call,5300.00,0.020000,0.015000,125.262872,128.262872
