date,ttm_years,strike,mid_iv,put_call,spot,r,q,bid,ask
2023-06-01,0.010959,417.000000,0.081402,call,421.820000,0.020000,0.000000,4.975000,5.125000
2023-06-01,0.010959,427.000000,0.130236,put,421.820000,0.020000,0.000000,5.615000,5.765000
2023-06-01,0.010959,428.000000,0.138848,put,421.820000,0.020000,0.000000,6.532313,6.697687
2023-06-01,0.010959,429.000000,0.148924,put,421.820000,0.020000,0.000000,7.475375,7.664625
2023-06-01,0.010959,430.000000,0.161747,put,421.820000,0.020000,0.000000,8.453000,8.667000
2023-06-01,0.010959,431.000000,0.174690,put,421.820000,0.020000,0.000000,9.435562,9.674437
2023-06-01,0.010959,432.000000,0.187878,put,421.820000,0.020000,0.000000,10.423063,10.686937
2023-06-01,0.010959,433.000000,0.200815,put,421.820000,0.020000,0.000000,11.410562,11.699438
2023-06-01,0.010959,434.000000,0.213528,put,421.820000,0.020000,0.000000,12.398062,12.711937
2023-06-01,0.010959,435.000000,0.226039,put,421.820000,0.020000,0.000000,13.385562,13.724438
2023-06-01,0.010959,436.000000,0.238366,put,421.820000,0.020000,0.000000,14.373062,14.736937
2023-06-01,0.010959,437.000000,0.250523,put,421.820000,0.020000,0.000000,15.360563,15.749437
2023-06-01,0.010959,438.000000,0.262524,put,421.820000,0.020000,0.000000,16.348063,16.761937
2023-06-01,0.010959,439.000000,0.274380,put,421.820000,0.020000,0.000000,17.335562,17.774438
2023-06-01,0.010959,440.000000,0.286100,put,421.820000,0.020000,0.000000,18.323062,18.786938
2023-06-01,0.010959,441.000000,0.297692,put,421.820000,0.020000,0.000000,19.310562,19.799437
2023-06-01,0.010959,442.000000,0.309165,put,421.820000,0.020000,0.000000,20.298063,20.811937
2023-06-01,0.010959,443.000000,0.320524,put,421.820000,0.020000,0.000000,21.285563,21.824437
2023-06-01,0.010959,444.000000,0.331775,put,421.820000,0.020000,0.000000,22.273062,22.836938
2023-06-01,0.010959,445.000000,0.342924,put,421.820000,0.020000,0.000000,23.260562,23.849438
2023-06-01,0.013699,414.000000,0.078223,call,421.820000,0.020000,0.000000,7.860500,8.059500
2023-06-01,0.013699,415.000000,0.090405,call,421.820000,0.020000,0.000000,6.956937,7.133063
2023-06-01,0.013699,416.000000,0.095242,call,421.820000,0.020000,0.000000,6.083000,6.237000
2023-06-01,0.013699,417.000000,0.097076,call,421.820000,0.020000,0.000000,5.230000,5.380000
2023-06-01,0.013699,427.000000,0.124713,put,421.820000,0.020000,0.000000,5.710000,5.860000
2023-06-01,0.013699,428.000000,0.130151,put,421.820000,0.020000,0.000000,6.586625,6.753375
2023-06-01,0.013699,429.000000,0.137148,put,421.820000,0.020000,0.000000,7.500062,7.689938
2023-06-01,0.013699,430.000000,0.146582,put,421.820000,0.020000,0.000000,8.453000,8.667000
2023-06-01,0.013699,431.000000,0.158280,put,421.820000,0.020000,0.000000,9.435562,9.674437
2023-06-01,0.013699,432.000000,0.170183,put,421.820000,0.020000,0.000000,10.423063,10.686937
2023-06-01,0.013699,433.000000,0.181859,put,421.820000,0.020000,0.000000,11.410562,11.699438
2023-06-01,0.013699,434.000000,0.193332,put,421.820000,0.020000,0.000000,12.398062,12.711937
2023-06-01,0.013699,435.000000,0.204621,put,421.820000,0.020000,0.000000,13.385562,13.724438
2023-06-01,0.013699,436.000000,0.215743,put,421.820000,0.020000,0.000000,14.373062,14.736937
2023-06-01,0.013699,437.000000,0.226712,put,421.820000,0.020000,0.000000,15.360563,15.749437
2023-06-01,0.013699,438.000000,0.237538,put,421.820000,0.020000,0.000000,16.348063,16.761937
2023-06-01,0.013699,439.000000,0.248233,put,421.820000,0.020000,0.000000,17.335562,17.774438
2023-06-01,0.013699,440.000000,0.258805,put,421.820000,0.020000,0.000000,18.323062,18.786938
2023-06-01,0.013699,441.000000,0.269262,put,421.820000,0.020000,0.000000,19.310562,19.799437
2023-06-01,0.013699,442.000000,0.279609,put,421.820000,0.020000,0.000000,20.298063,20.811937
